protid,Protein_Accession,Taxonomy
"Chain A, MAJOR APURINIC/APYRIMIDINIC ENDONUCLEASE (human)",1DE9_A,Homo sapiens (human)
"Chain A, DIHYDROFOLATE REDUCTASE (Escherichia coli)",1DHI_A,Escherichia coli
"Chain B, DIHYDROFOLATE REDUCTASE (Escherichia coli)",1DHI_B,Escherichia coli
"Chain A, DIHYDROFOLATE REDUCTASE (Escherichia coli)",1DHJ_A,Escherichia coli
"Chain B, DIHYDROFOLATE REDUCTASE (Escherichia coli)",1DHJ_B,Escherichia coli
"Chain A, TYROSYL-DNA PHOSPHODIESTERASE (human)",1JY1_A,Homo sapiens (human)
"Chain E, Fibrin beta chain (human)",1N8E_E,Homo sapiens (human)
"Chain A, Breast cancer type 1 susceptibility protein (human)",1OQA_A,Homo sapiens (human)
"Chain A, Genome polyprotein (Human poliovirus 1 Mahoney)",1RA7_A,Human poliovirus 1 Mahoney
"Chain A, DIHYDROFOLATE REDUCTASE (Escherichia coli)",2DRC_A,Escherichia coli
"Chain B, DIHYDROFOLATE REDUCTASE (Escherichia coli)",2DRC_B,Escherichia coli
"Chain A, Beta-lactamase (Escherichia coli K-12)",2HDS_A,Escherichia coli K-12
"Chain A, Putative fructose-1,6-bisphosphate aldolase (Giardia intestinalis)",2ISV_A,Giardia intestinalis
"Chain A, HADH2 protein (human)",2O23_A,Homo sapiens (human)
"Chain B, HADH2 protein (human)",2O23_B,Homo sapiens (human)
"Chain A, Neuropilin-1 (human)",2QQI_A,Homo sapiens (human)
"Chain A, JmjC domain-containing histone demethylation protein 3A (human)",2QQS_A,Homo sapiens (human)
"Chain A, BCL-2-RELATED PROTEIN A1 (human)",2VM6_A,Homo sapiens (human)
"Chain A, 2-oxoglutarate Oxygenase (human)",2W2I_A,Homo sapiens (human)
"Chain A, ATP-DEPENDENT DNA HELICASE Q1 (human)",2WWY_A,Homo sapiens (human)
"Chain A, RNA-directed RNA polymerase NS5 (Dengue virus 2 16681-PDK53)",3EVG_A,Dengue virus 2 16681-PDK53
"Chain A, Ferritin light chain (horse)",3F32_A,Equus caballus (horse)
"Chain A, Cruzipain (Trypanosoma cruzi)",3I06_A,Trypanosoma cruzi
"Chain B, Interleukin-1 receptor-like 1 (human)",4KC3_B,Homo sapiens (human)
Leukotriene C4 synthase (domestic guinea pig),A6XA80,Cavia porcellus (domestic guinea pig)
Luciferase (common eastern firefly),AAA29795,Photinus pyralis (common eastern firefly)
"citrate synthase 2, partial (brewer's yeast)",AAA34498,Saccharomyces cerevisiae (brewer's yeast)
"T cell receptor, partial (human)",AAA51534,Homo sapiens (human)
acid sphingomyelinase (human),AAA58377,Homo sapiens (human)
endonuclease IV (Escherichia coli),AAA60529,Escherichia coli
acetylcholinesterase (human),AAA68151,Homo sapiens (human)
dopamine D1 receptor (human),AAB26273,Homo sapiens (human)
Nrf2 (human),AAB32188,Homo sapiens (human)
PAX8 (human),AAB34216,Homo sapiens (human)
DNA polymerase (Vaccinia virus),AAB59829,Vaccinia virus
"glp-1 receptor, partial (human)",AAB64013,Homo sapiens (human)
"TCRAV4S1, partial (human)",AAB69001,Homo sapiens (human)
aryl hydrocarbon receptor nuclear translocator (human),AAC03365,Homo sapiens (human)
CtBP interacting protein CtIP (human),AAC14371,Homo sapiens (human)
thioredoxin reductase (Norway rat),AAC35244,Rattus norvegicus (Norway rat)
BRCA1 (human),AAC37594,Homo sapiens (human)
RGS12 (human),AAC39835,Homo sapiens (human)
ClpP (Bacillus subtilis),AAC46381,Bacillus subtilis
SUMO-1 (human),AAC50996,Homo sapiens (human)
ADAM10 (human),AAC51766,Homo sapiens (human)
"15-lipoxygenase, partial (human)",AAC52118,Homo sapiens (human)
ORF 73 (Human herpesvirus 8 type M),AAC57158,Human herpesvirus 8 type M
WRN (human),AAC63361,Homo sapiens (human)
"integrase, partial (Human immunodeficiency virus 1)",AAC83551,Human immunodeficiency virus 1
"90-kda heat shock protein beta HSP90 beta, partial (human)",AAD14062,Homo sapiens (human)
thioredoxin peroxidase (Schistosoma mansoni),AAD17299,Schistosoma mansoni
ubiquitin C-terminal hydrolase UCH37 (human),AAD31528,Homo sapiens (human)
pregnane X receptor (Norway rat),AAD47214,Rattus norvegicus (Norway rat)
SUMO-1-specific protease (human),AAF04852,Homo sapiens (human)
lens epithelium-derived growth factor p75 (human),AAF25870,Homo sapiens (human)
phosphopantetheinyl transferase (Bacillus subtilis),AAG24257,Bacillus subtilis
Kcnk3 channel (human),AAG29340,Homo sapiens (human)
hypoxia-inducible factor 1 alpha subunit (human),AAG43026,Homo sapiens (human)
Phosphogluconate dehydrogenase (human),AAH00368,Homo sapiens (human)
"PPP5C protein, partial (human)",AAH00750,Homo sapiens (human)
"Arrestin, beta 1 (human)",AAH03636,Homo sapiens (human)
"Caspase 6, apoptosis-related cysteine peptidase (human)",AAH04460,Homo sapiens (human)
PSMD14 protein (human),AAH09524,Homo sapiens (human)
CDC25B protein (human),AAH09953,Homo sapiens (human)
"Prolyl 4-hydroxylase, beta polypeptide (human)",AAH10859,Homo sapiens (human)
RAR-related orphan receptor gamma (house mouse),AAH14804,Mus musculus (house mouse)
SMAD family member 2 (human),AAH14840,Homo sapiens (human)
"ATAD5 protein, partial (human)",AAH15051,Homo sapiens (human)
Fumarate hydratase (human),AAH17444,Homo sapiens (human)
"USP1 protein, partial (human)",AAH18745,Homo sapiens (human)
"PRMT1 protein, partial (human)",AAH19268,Homo sapiens (human)
Dopamine receptor D2 (human),AAH21195,Homo sapiens (human)
"Cyclin-dependent kinase 5, regulatory subunit 1 (p35) (human)",AAH26347,Homo sapiens (human)
ERAP1 protein (human),AAH30775,Homo sapiens (human)
Fam108b protein (house mouse),AAH32261,Mus musculus (house mouse)
Methyl-CpG binding domain protein 2 (human),AAH32638,Homo sapiens (human)
"NFKB1 protein, partial (human)",AAH33210,Homo sapiens (human)
GALC protein (human),AAH36518,Homo sapiens (human)
GLS protein (human),AAH38507,Homo sapiens (human)
SMAD family member 3 (human),AAH50743,Homo sapiens (human)
Microphthalmia-associated transcription factor (human),AAH65243,Homo sapiens (human)
MSRA protein (cattle),AAI02981,Bos taurus (cattle)
Myeloid cell leukemia sequence 1 (BCL2-related) (human),AAI07736,Homo sapiens (human)
TDP1 protein (human),AAI07878,Homo sapiens (human)
GLI family zinc finger 3 (human),AAI13617,Homo sapiens (human)
Microtubule-associated protein tau (human),AAI14949,Homo sapiens (human)
TSHR protein (human),AAI27629,Homo sapiens (human)
Estrogen receptor 1 (human),AAI28575,Homo sapiens (human)
SUMO1/sentrin specific peptidase 7 (human),AAI29989,Homo sapiens (human)
Thrombopoietin (human),AAI30323,Homo sapiens (human)
"alkaline phosphatase, intestinal (human)",AAI32679,Homo sapiens (human)
AR protein (human),AAI32976,Homo sapiens (human)
"Phospholipase C, gamma 1 (human)",AAI36467,Homo sapiens (human)
Apoptotic peptidase activating factor 1 (human),AAI36532,Homo sapiens (human)
"Phospholipase C, beta 3 (phosphatidylinositol-specific) (human)",AAI42682,Homo sapiens (human)
NLRP3 protein (human),AAI43360,Homo sapiens (human)
Prolyl endopeptidase-like (human),AAI51237,Homo sapiens (human)
Smad3 (human),AAL68976,Homo sapiens (human)
"apical membrane antigen 1, AMA1 (Plasmodium falciparum 3D7)",AAN35928,Plasmodium falciparum 3D7
"DNA polymerase III, partial (Bacillus subtilis)",AAP13898,Bacillus subtilis
"caspase 7, apoptosis-related cysteine protease (human)",AAP35329,Homo sapiens (human)
"aldehyde dehydrogenase 1 family, member A1 (human)",AAP35567,Homo sapiens (human)
PINK1 (human),AAQ89316,Homo sapiens (human)
thyroid stimulating hormone receptor (human),AAR07906,Homo sapiens (human)
corticotropin-releasing hormone receptor 2 (human),AAR18078,Homo sapiens (human)
estrogen receptor 2 (ER beta) (human),AAV31779,Homo sapiens (human)
"hypothetical protein, conserved (Trypanosoma brucei)",AAX80043,Trypanosoma brucei
"nuclear receptor subfamily 1, group I, member 3 (human)",AAY56401,Homo sapiens (human)
progesterone receptor (human),ABB72139,Homo sapiens (human)
"core protein, partial (Hepacivirus C)",ABC47431,Hepacivirus C
regulator of G-protein signaling 4 (human),ABC94591,Homo sapiens (human)
cystic fibrosis transmembrane conductance regulator ATP-binding cassette sub-family C member 7 (human),ABD72211,Homo sapiens (human)
"isocitrate dehydrogenase 1, partial (human)",ABD77215,Homo sapiens (human)
lactate dehydrogenase (malaria parasite P. falciparum),ABH03417,Plasmodium falciparum (malaria parasite P. falciparum)
cytochrome P450 family 3 subfamily A polypeptide 4 (human),ABI96208,Homo sapiens (human)
"NS3, partial (Hepacivirus C)",ABN45876,Hepacivirus C
potassium voltage-gated channel subfamily H member 2 (human),ABQ01243,Homo sapiens (human)
EWS/FLI fusion protein (human),ACA62796,Homo sapiens (human)
nonstructural protein 1 (Influenza A virus (A/WSN/1933(H1N1))),ACF54603,Influenza A virus (A/WSN/1933(H1N1))
MAS-related GPR member X1 (human),ACG60652,Homo sapiens (human)
nonstructural protein 1 (Influenza A virus (A/California/07/2009(H1N1))),ACP44172,Influenza A virus (A/California/07/2009(H1N1))
glucocorticoid receptor [Homo sapiens] (human),ADP91253,Homo sapiens (human)
LANA (Human gammaherpesvirus 8),ADQ57959,Human gammaherpesvirus 8
retinoic acid nuclear receptor alpha variant 1 (human),ADZ17337,Homo sapiens (human)
retinoid X nuclear receptor alpha (human),ADZ17354,Homo sapiens (human)
estrogen-related nuclear receptor alpha (human),ADZ17378,Homo sapiens (human)
farnesoid X nuclear receptor (human),ADZ17382,Homo sapiens (human)
pregnane X nuclear receptor (human),ADZ17384,Homo sapiens (human)
"potassium voltage-gated channel subfamily H member 2 isoform a, partial (human)",AEL63844,Homo sapiens (human)
estrogen nuclear receptor alpha (human),AEP43755,Homo sapiens (human)
polyprotein (Zika virus),ASK51714,Zika virus
67.9K protein (Vaccinia virus),BAA01847,Vaccinia virus
glucocerebrosidase (human),BAA02545,Homo sapiens (human)
luciferase (Pennsylania firefly),BAA05005,Photuris pensylvanica (Pennsylania firefly)
Parkin (human),BAA25751,Homo sapiens (human)
Gli1 (house mouse),BAA85004,Mus musculus (house mouse)
putative alpha-glucosidase (Japanese rice),BAD45913,Oryza sativa Japonica Group (Japanese rice)
girdin (human),BAE44387,Homo sapiens (human)
TRIC (human),BAE54513,Homo sapiens (human)
toll-like receptor 9 (human),BAG55070,Homo sapiens (human)
peroxisome proliferator-activated receptor delta (human),BAH02282,Homo sapiens (human)
peroxisome proliferator activated receptor gamma (human),BAH02283,Homo sapiens (human)
"vitamin D (1,25- dihydroxyvitamin D3) receptor (human)",BAH02291,Homo sapiens (human)
photoreceptor-specific nuclear receptor (human),BAH02301,Homo sapiens (human)
arylsulfatase A (human),BAH11167,Homo sapiens (human)
Metallo-beta-lactamase type 2 (Klebsiella pneumoniae),C7C422,Klebsiella pneumoniae
alpha-galactosidase (human),CAA29232,Homo sapiens (human)
corticotropin releasing factor-binding protein (human),CAA41086,Homo sapiens (human)
cdk2 (human),CAA43985,Homo sapiens (human)
cardiac alpha tropomyosin (pig),CAA46986,Sus scrofa (pig)
cyclin A (human),CAA48375,Homo sapiens (human)
pyruvate kinase (Leishmania mexicana mexicana),CAA52898,Leishmania mexicana mexicana
six1 (human),CAA62974,Homo sapiens (human)
bcl-xL (human),CAA80661,Homo sapiens (human)
LAP4 (brewer's yeast),CAA81943,Saccharomyces cerevisiae (brewer's yeast)
RPL19A (brewer's yeast),CAA84846,Saccharomyces cerevisiae (brewer's yeast)
MEP2 (brewer's yeast),CAA96025,Saccharomyces cerevisiae (brewer's yeast)
FATTY-ACID-CoA LIGASE FADD28 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) (Mycobacterium tuberculosis H37Rv),CAB06100,Mycobacterium tuberculosis H37Rv
lysophospholipase II (human),CAB40158,Homo sapiens (human)
glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase (Plasmodium berghei),CAC24715,Plasmodium berghei
caspase-3 (human),CAC88866,Homo sapiens (human)
EBNA-1 protein [Human herpesvirus 4] (Epstein-Barr virus),CAD53427,human gammaherpesvirus 4 (Epstein-Barr virus)
