protid,Protein_Accession,Taxonomy
P53 (human),BAC16799,Homo sapiens (human)
shiga toxin 1 variant A subunit (Escherichia coli O157:H7),BAC78637,Escherichia coli O157:H7
shiga toxin 1 B subunit (Escherichia coli O157:H7),BAC78638,Escherichia coli O157:H7
girdin (human),BAE44387,Homo sapiens (human)
TRIC (human),BAE54513,Homo sapiens (human)
toll-like receptor 9 (human),BAG55070,Homo sapiens (human)
photoreceptor-specific nuclear receptor (human),BAH02301,Homo sapiens (human)
alpha-galactosidase (human),CAA29232,Homo sapiens (human)
corticotropin releasing factor-binding protein (human),CAA41086,Homo sapiens (human)
cardiac alpha tropomyosin (pig),CAA46986,Sus scrofa (pig)
pyruvate kinase (Leishmania mexicana mexicana),CAA52898,Leishmania mexicana mexicana
RCKbeta2 (Norway rat),CAA54142,Rattus norvegicus (Norway rat)
heat shock protein 90 (Candida albicans),CAA56931,Candida albicans
six1 (human),CAA62974,Homo sapiens (human)
bcl-xL (human),CAA80661,Homo sapiens (human)
LAP4 (brewer's yeast),CAA81943,Saccharomyces cerevisiae (brewer's yeast)
RPL19A (brewer's yeast),CAA84846,Saccharomyces cerevisiae (brewer's yeast)
MEP2 (brewer's yeast),CAA96025,Saccharomyces cerevisiae (brewer's yeast)
unnamed protein product (brewer's yeast),CAA97545,Saccharomyces cerevisiae (brewer's yeast)
FATTY-ACID-CoA LIGASE FADD28 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) (Mycobacterium tuberculosis H37Rv),CAB06100,Mycobacterium tuberculosis H37Rv
lysophospholipase II (human),CAB40158,Homo sapiens (human)
Rac1 protein (human),CAB53579,Homo sapiens (human)
X-linked inhibitor of apoptosis (human),CAB95312,Homo sapiens (human)
glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase (Plasmodium berghei),CAC24715,Plasmodium berghei
M18 aspartyl aminopeptidase (Plasmodium falciparum 3D7),CAD52000,Plasmodium falciparum 3D7
EBNA-1 protein [Human herpesvirus 4] (Epstein-Barr virus),CAD53427,human gammaherpesvirus 4 (Epstein-Barr virus)
LMP1 [Human herpesvirus 4] (Epstein-Barr virus),CAD53472,human gammaherpesvirus 4 (Epstein-Barr virus)
LARGE (human),CAG30396,Homo sapiens (human)
CDK5 (human),CAG33322,Homo sapiens (human)
IDH1 (human),CAG38738,Homo sapiens (human)
RAD51 (human),CAG38796,Homo sapiens (human)
toll-like receptor 4 (human),CAH72619,Homo sapiens (human)
"caspase 7, apoptosis-related cysteine peptidase (human)",CAI12638,Homo sapiens (human)
cathepsin L1 (human),CAI16307,Homo sapiens (human)
selectin E (human),CAI19360,Homo sapiens (human)
"cell division cycle 42 (GTP binding protein, 25kDa), partial (human)",CAI19851,Homo sapiens (human)
DNA topoisomerase I (Yersinia pestis CO92),CAL20848,Yersinia pestis CO92
heat shock 70kDa protein 1A (human),CAM24989,Homo sapiens (human)
euchromatic histone-lysine N-methyltransferase 2 (human),CAQ07474,Homo sapiens (human)
"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) (human)",CAQ08732,Homo sapiens (human)
bioA (Mycobacterium tuberculosis UT205),CCE37082,Mycobacterium tuberculosis UT205
priA (Klebsiella pneumoniae),CDO16358,Klebsiella pneumoniae
ssb (Klebsiella pneumoniae),CDO16711,Klebsiella pneumoniae
TPA: protein transporter TIM10 (Saccharomyces cerevisiae S288C),DAA06693,Saccharomyces cerevisiae S288C
TPA: protein transporter TIM23 (Saccharomyces cerevisiae S288C),DAA10558,Saccharomyces cerevisiae S288C
hexokinase (Trypanosoma brucei brucei TREU927),EAN77629,Trypanosoma brucei brucei TREU927
Janus kinase 2 (a protein tyrosine kinase) (human),EAW58774,Homo sapiens (human)
"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2, isoform CRA_a (human)",EAW58811,Homo sapiens (human)
"phospholipase A2, group III (human)",EAW59941,Homo sapiens (human)
"caspase recruitment domain family, member 15 (human)",EAW82767,Homo sapiens (human)
neuropeptides B/W receptor 1 (human),EAW86722,Homo sapiens (human)
"furin (paired basic amino acid cleaving enzyme), isoform CRA_a (human)",EAX02111,Homo sapiens (human)
beta-2 adrenergic receptor (human),NP_000015,Homo sapiens (human)
serine-protein kinase ATM isoform a (human),NP_000042,Homo sapiens (human)
Bloom syndrome protein isoform 1 (human),NP_000048,Homo sapiens (human)
lysosomal alpha-glucosidase preproprotein (human),NP_000143,Homo sapiens (human)
galactokinase (human),NP_000145,Homo sapiens (human)
integrin beta-2 isoform 1 precursor (human),NP_000202,Homo sapiens (human)
potassium voltage-gated channel subfamily KQT member 1 isoform 1 (human),NP_000209,Homo sapiens (human)
menin isoform 1 (human),NP_000235,Homo sapiens (human)
neutrophil cytosol factor 1 (human),NP_000256,Homo sapiens (human)
NPC intracellular cholesterol transporter 1 precursor (human),NP_000262,Homo sapiens (human)
major prion protein preproprotein Prp precursor (human),NP_000302,Homo sapiens (human)
"troponin I, cardiac muscle (human)",NP_000354,Homo sapiens (human)
"platelet-activating factor acetylhydrolase 2, cytoplasmic (human)",NP_000428,Homo sapiens (human)
nuclear receptor subfamily 0 group B member 1 (human),NP_000466,Homo sapiens (human)
"alkaline phosphatase, tissue-nonspecific isozyme isoform 1 preproprotein (human)",NP_000469,Homo sapiens (human)
cystic fibrosis transmembrane conductance regulator (human),NP_000483,Homo sapiens (human)
hemoglobin subunit beta (human),NP_000509,Homo sapiens (human)
5-hydroxytryptamine receptor 1A (human),NP_000515,Homo sapiens (human)
cellular tumor antigen p53 isoform a (human),NP_000537,Homo sapiens (human)
interleukin-1 beta proprotein (human),NP_000567,Homo sapiens (human)
integrin alpha-M isoform 2 precursor (human),NP_000623,Homo sapiens (human)
polyunsaturated fatty acid lipoxygenase ALOX12 (human),NP_000688,Homo sapiens (human)
vasopressin V1a receptor (human),NP_000697,Homo sapiens (human)
voltage-dependent N-type calcium channel subunit alpha-1B isoform 1 (human),NP_000709,Homo sapiens (human)
muscarinic acetylcholine receptor M1 (human),NP_000729,Homo sapiens (human)
muscarinic acetylcholine receptor M4 (human),NP_000732,Homo sapiens (human)
cytochrome P450 2C19 precursor (human),NP_000760,Homo sapiens (human)
cytochrome P450 2C9 precursor (human),NP_000762,Homo sapiens (human)
D(1A) dopamine receptor (human),NP_000785,Homo sapiens (human)
D(2) dopamine receptor isoform long (human),NP_000786,Homo sapiens (human)
15-hydroxyprostaglandin dehydrogenase [NAD(+)] isoform 1 (human),NP_000851,Homo sapiens (human)
integrin alpha-4 isoform 1 preproprotein (human),NP_000876,Homo sapiens (human)
neuropeptide Y receptor type 1 (human),NP_000900,Homo sapiens (human)
neuropeptide Y receptor type 2 (human),NP_000901,Homo sapiens (human)
delta-type opioid receptor (human),NP_000902,Homo sapiens (human)
kappa-type opioid receptor isoform 1 (human),NP_000903,Homo sapiens (human)
mu-type opioid receptor isoform MOR-1 (human),NP_000905,Homo sapiens (human)
oxytocin receptor (human),NP_000907,Homo sapiens (human)
ATP-dependent translocase ABCB1 isoform 2 (human),NP_000918,Homo sapiens (human)
prostaglandin E2 receptor EP2 subtype (human),NP_000947,Homo sapiens (human)
"troponin T, cardiac muscle isoform 3 (human)",NP_001001431,Homo sapiens (human)
N-formyl peptide receptor 2 (human),NP_001005738,Homo sapiens (human)
serine/threonine-protein phosphatase PP1-alpha catalytic subunit isoform 3 (human),NP_001008709,Homo sapiens (human)
perilipin-5 (human),NP_001013728,Homo sapiens (human)
Golgi-associated PDZ and coiled-coil motif-containing protein isoform b (human),NP_001017408,Homo sapiens (human)
vitamin D3 receptor isoform VDRA (human),NP_001017535,Homo sapiens (human)
Nuclear hormone receptor family member daf-12 (Caenorhabditis elegans),NP_001024547,Caenorhabditis elegans
protein artemis isoform a (human),NP_001029027,Homo sapiens (human)
regulator of G-protein signaling 19 (human),NP_001034556,Homo sapiens (human)
histone-lysine N-methyltransferase NSD2 isoform 1 (human),NP_001035889,Homo sapiens (human)
E3 ubiquitin-protein ligase UHRF1 isoform 1 (human),NP_001041666,Homo sapiens (human)
vascular cell adhesion protein 1 isoform a precursor (human),NP_001069,Homo sapiens (human)
cAMP-dependent protein kinase type I-alpha regulatory subunit (cattle),NP_001069826,Bos taurus (cattle)
intestinal alkaline phosphatase precursor (house mouse),NP_001074551,Mus musculus (house mouse)
chromobox protein homolog 1 (human),NP_001120700,Homo sapiens (human)
thyroid hormone receptor beta isoform a (human),NP_001121649,Homo sapiens (human)
DNA repair and recombination protein RAD54-like isoform 1 (human),NP_001136020,Homo sapiens (human)
phosphoethanolamine/phosphocholine phosphatase isoform 1 (human),NP_001137276,Homo sapiens (human)
nuclear factor erythroid 2-related factor 2 isoform 2 (human),NP_001138884,Homo sapiens (human)
platelet-activating factor acetylhydrolase IB subunit alpha1 (human),NP_001139412,Homo sapiens (human)
platelet-activating factor acetylhydrolase precursor (human),NP_001161829,Homo sapiens (human)
transcription activator BRG1 isoform 1 (house mouse),NP_001167549,Mus musculus (house mouse)
parathyroid hormone/parathyroid hormone-related peptide receptor precursor (human),NP_001171673,Homo sapiens (human)
platelet-activating factor acetylhydrolase IB subunit alpha2 isoform b (human),NP_001171675,Homo sapiens (human)
transcriptional regulator ERG isoform 3 (human),NP_001230357,Homo sapiens (human)
"arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 isoform 2 (human)",NP_001234925,Homo sapiens (human)
DNA (cytosine-5)-methyltransferase 1 isoform b (human),NP_001370,Homo sapiens (human)
sphingosine 1-phosphate receptor 1 (human),NP_001391,Homo sapiens (human)
endothelial PAS domain-containing protein 1 (human),NP_001421,Homo sapiens (human)
estrogen receptor beta isoform 1 (human),NP_001428,Homo sapiens (human)
orexin/Hypocretin receptor type 1 [Homo sapiens] (human),NP_001516,Homo sapiens (human)
beta-adrenergic receptor kinase 1 (human),NP_001610,Homo sapiens (human)
aryl hydrocarbon receptor (human),NP_001612,Homo sapiens (human)
complement C1s subcomponent isoform 1 preproprotein (human),NP_001725,Homo sapiens (human)
runt-related transcription factor 1 isoform AML1c (human),NP_001745,Homo sapiens (human)
procathepsin L isoform 1 preproprotein (human),NP_001903,Homo sapiens (human)
bifunctional epoxide hydrolase 2 isoform a (human),NP_001970,Homo sapiens (human)
fMet-Leu-Phe receptor (human),NP_002020,Homo sapiens (human)
glyceraldehyde-3-phosphate dehydrogenase isoform 1 (human),NP_002037,Homo sapiens (human)
guanine nucleotide-binding protein G(i) subunit alpha-1 isoform 1 (human),NP_002060,Homo sapiens (human)
glycogen synthase kinase-3 beta isoform 1 (human),NP_002084,Homo sapiens (human)
huntingtin isoform 2 (human),NP_002102,Homo sapiens (human)
importin subunit beta-1 isoform 1 (human),NP_002256,Homo sapiens (human)
E3 ubiquitin-protein ligase Mdm2 isoform a (human),NP_002383,Homo sapiens (human)
protein Mdm4 isoform 1 (human),NP_002384,Homo sapiens (human)
collagenase 3 preproprotein (human),NP_002418,Homo sapiens (human)
neurotensin receptor type 1 (human),NP_002522,Homo sapiens (human)
polyadenylate-binding protein 1 (human),NP_002559,Homo sapiens (human)
pyruvate kinase PKM isoform a (human),NP_002645,Homo sapiens (human)
DNA polymerase beta (human),NP_002681,Homo sapiens (human)
cAMP-dependent protein kinase catalytic subunit alpha isoform Calpha1 (human),NP_002721,Homo sapiens (human)
cAMP-dependent protein kinase type II-beta regulatory subunit (human),NP_002727,Homo sapiens (human)
serine/threonine-protein kinase D1 isoform 2 (human),NP_002733,Homo sapiens (human)
mitogen-activated protein kinase 1 (human),NP_002736,Homo sapiens (human)
polypyrimidine tract-binding protein 1 isoform a (human),NP_002810,Homo sapiens (human)
regulator of G-protein signaling 16 (human),NP_002919,Homo sapiens (human)
disintegrin and metalloproteinase domain-containing protein 17 isoform 1 preproprotein (human),NP_003174,Homo sapiens (human)
"troponin C, slow skeletal and cardiac muscles (human)",NP_003271,Homo sapiens (human)
thyrotropin-releasing hormone receptor (human),NP_003292,Homo sapiens (human)
SUMO-conjugating enzyme UBC9 (human),NP_003336,Homo sapiens (human)
ubiquitin-conjugating enzyme E2 N (human),NP_003339,Homo sapiens (human)
galanin receptor type 3 (human),NP_003605,Homo sapiens (human)
nuclear receptor coactivator 1 isoform 1 [Homo sapiens] (human),NP_003734,Homo sapiens (human)
tumor necrosis factor ligand superfamily member 10 isoform 1 (human),NP_003801,Homo sapiens (human)
receptor-interacting serine/threonine-protein kinase 2 isoform 1 (human),NP_003812,Homo sapiens (human)
nuclear receptor subfamily 5 group A member 2 isoform 2 (human),NP_003813,Homo sapiens (human)
tumor necrosis factor receptor superfamily member 10B isoform 1 precursor (human),NP_003833,Homo sapiens (human)
histone deacetylase 3 isoform 2 (human),NP_003874,Homo sapiens (human)
NEDD8-activating enzyme E1 regulatory subunit isoform a (human),NP_003896,Homo sapiens (human)
NEDD8-conjugating enzyme Ubc12 (human),NP_003960,Homo sapiens (human)
nuclear factor NF-kappa-B p105 subunit isoform 1 (human),NP_003989,Homo sapiens (human)
bcl-2-related protein A1 isoform 1 (human),NP_004040,Homo sapiens (human)
cathepsin S isoform 1 preproprotein (human),NP_004070,Homo sapiens (human)
dual specificity protein phosphatase 3 (human),NP_004081,Homo sapiens (human)
fatty acid synthase (human),NP_004095,Homo sapiens (human)
flap endonuclease 1 (human),NP_004102,Homo sapiens (human)
ubiquitin carboxyl-terminal hydrolase 2 isoform a (human),NP_004196,Homo sapiens (human)
sphingosine 1-phosphate receptor 2 (human),NP_004221,Homo sapiens (human)
ras-related protein Rab-9A (human),NP_004242,Homo sapiens (human)
ras and Rab interactor 1 isoform 1 (human),NP_004283,Homo sapiens (human)
caspase-3 isoform a preproprotein (human),NP_004337,Homo sapiens (human)
M-phase inducer phosphatase 2 isoform 2 (human),NP_004349,Homo sapiens (human)
C-C chemokine receptor type 6 (human),NP_004358,Homo sapiens (human)
dual specificity protein phosphatase 1 (human),NP_004408,Homo sapiens (human)
mitogen-activated protein kinase kinase kinase kinase 2 isoform 1 (human),NP_004570,Homo sapiens (human)
broad substrate specificity ATP-binding cassette transporter ABCG2 isoform 1 (human),NP_004818,Homo sapiens (human)
glutathione S-transferase omega-1 isoform 1 (human),NP_004823,Homo sapiens (human)
eukaryotic translation initiation factor 2-alpha kinase 3 isoform 1 precursor (human),NP_004827,Homo sapiens (human)
rho-associated protein kinase 2 isoform 1 (human),NP_004841,Homo sapiens (human)
G-protein coupled receptor 183 (human),NP_004942,Homo sapiens (human)
eukaryotic translation initiation factor 4 gamma 1 isoform 4 (human),NP_004944,Homo sapiens (human)
steroidogenic factor 1 (human),NP_004950,Homo sapiens (human)
insulin-degrading enzyme isoform 1 (human),NP_004960,Homo sapiens (human)
matrix metalloproteinase-14 preproprotein (human),NP_004986,Homo sapiens (human)
multidrug resistance-associated protein 1 (human),NP_004987,Homo sapiens (human)
serine/threonine-protein kinase PLK1 (human),NP_005021,Homo sapiens (human)
tyrosine-protein kinase ABL1 isoform a (human),NP_005148,Homo sapiens (human)
apelin receptor (human),NP_005152,Homo sapiens (human)
sphingosine 1-phosphate receptor 3 (human),NP_005217,Homo sapiens (human)
eyes absent homolog 2 isoform a (human),NP_005235,Homo sapiens (human)
FAD-linked sulfhydryl oxidase ALR (human),NP_005253,Homo sapiens (human)
G-protein coupled receptor 35 isoform a (human),NP_005292,Homo sapiens (human)
heat shock protein HSP 90-alpha isoform 2 (human),NP_005339,Homo sapiens (human)
regulator of G-protein signaling 4 isoform 2 (human),NP_005604,Homo sapiens (human)
G-protein coupled receptor 55 (human),NP_005674,Homo sapiens (human)
"ATP-binding cassette sub-family B member 6, mitochondrial isoform 1 (human)",NP_005680,Homo sapiens (human)
snurportin-1 (human),NP_005692,Homo sapiens (human)
mothers against decapentaplegic homolog 3 isoform 1 (human),NP_005893,Homo sapiens (human)
melanocortin receptor 4 (human),NP_005903,Homo sapiens (human)
histone-lysine N-methyltransferase 2A isoform 2 precursor (human),NP_005924,Homo sapiens (human)
nucleotide-binding oligomerization domain-containing protein 1 isoform 1 (human),NP_006083,Homo sapiens (human)
peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (human),NP_006212,Homo sapiens (human)
tumor susceptibility gene 101 protein (human),NP_006283,Homo sapiens (human)
GTP-binding nuclear protein Ran isoform 1 (human),NP_006316,Homo sapiens (human)
acyl-protein thioesterase 1 isoform 1 (human),NP_006321,Homo sapiens (human)
transforming acidic coiled-coil-containing protein 3 (human),NP_006333,Homo sapiens (human)
DNA polymerase eta isoform 1 (human),NP_006493,Homo sapiens (human)
nuclear receptor coactivator 2 isoform a (human),NP_006531,Homo sapiens (human)
C-X-C chemokine receptor type 6 (human),NP_006555,Homo sapiens (human)
heat shock cognate 71 kDa protein isoform 1 (human),NP_006588,Homo sapiens (human)
serine hydrolase RBBP9 (human),NP_006597,Homo sapiens (human)
COP9 signalosome complex subunit 5 (human),NP_006828,Homo sapiens (human)
tyrosine-protein phosphatase non-receptor type 5 isoform a (human),NP_008837,Homo sapiens (human)
DNA polymerase iota isoform a (long) (human),NP_009126,Homo sapiens (human)
signal transducer and activator of transcription 1-alpha/beta isoform alpha (human),NP_009330,Homo sapiens (human)
amino acid transporter AGP1 (Saccharomyces cerevisiae S288C),NP_009905,Saccharomyces cerevisiae S288C
CAAX prenyl protease (Saccharomyces cerevisiae S288C),NP_014001,Saccharomyces cerevisiae S288C
H(+)-transporting V0 sector ATPase subunit c' (Saccharomyces cerevisiae S288C),NP_015090,Saccharomyces cerevisiae S288C
DNA damage-inducible transcript 3 protein (house mouse),NP_031863,Mus musculus (house mouse)
eukaryotic translation initiation factor 4E isoform 1 (house mouse),NP_031943,Mus musculus (house mouse)
protein fosB isoform 1 (house mouse),NP_032062,Mus musculus (house mouse)
interleukin-2 precursor (house mouse),NP_032392,Mus musculus (house mouse)
integrin alpha-L isoform 2 precursor (house mouse),NP_032426,Mus musculus (house mouse)
inward rectifier potassium channel 2 (house mouse),NP_032451,Mus musculus (house mouse)
nuclear receptor coactivator 3 isoform 1 (house mouse),NP_032705,Mus musculus (house mouse)
urokinase-type plasminogen activator precursor (house mouse),NP_032899,Mus musculus (house mouse)
plasminogen precursor (house mouse),NP_032903,Mus musculus (house mouse)
bcl-2-related protein A1 (house mouse),NP_033872,Mus musculus (house mouse)
cAMP-dependent protein kinase catalytic subunit beta isoform 1 (house mouse),NP_035230,Mus musculus (house mouse)
urokinase plasminogen activator surface receptor precursor (house mouse),NP_035243,Mus musculus (house mouse)
nuclear receptor ROR-gamma isoform 1 (house mouse),NP_035411,Mus musculus (house mouse)
muscarinic acetylcholine receptor M5 (human),NP_036257,Homo sapiens (human)
protein-arginine deiminase type-4 (human),NP_036519,Homo sapiens (human)
tyrosine-protein phosphatase non-receptor type 22 isoform 2 (human),NP_036543,Homo sapiens (human)
kallikrein-5 preproprotein (human),NP_036559,Homo sapiens (human)
14-3-3 protein gamma (human),NP_036611,Homo sapiens (human)
dual specificity tyrosine-phosphorylation-regulated kinase 1A (Norway rat),NP_036923,Rattus norvegicus (Norway rat)
rac GTPase-activating protein 1 isoform a (human),NP_037409,Homo sapiens (human)
cysteine protease ATG4B isoform a (human),NP_037457,Homo sapiens (human)
short transient receptor potential channel 6 isoform 1 (house mouse),NP_038866,Mus musculus (house mouse)
polyprotein (West Nile virus),NP_041724,West Nile virus
sentrin-specific protease 1 (human),NP_055369,Homo sapiens (human)
lethal(3)malignant brain tumor-like protein 1 isoform I (human),NP_056293,Homo sapiens (human)
